time_from_event_s,filtered_strain
-0.38950205,-1.069786787327e-22
-0.38852549,6.299927510958e-23
-0.38779306,1.382056458494e-22
-0.38706064,1.378861625836e-22
-0.38632822,7.858328934919e-23
-0.3855958,3.925400442873e-24
-0.38486338,-4.492638820375e-23
-0.38413095,-5.140127319686e-23
-0.38339853,-2.410121689342e-23
-0.38266611,1.359304908586e-23
-0.38193369,3.467722852033e-23
-0.38120127,2.500921411647e-23
-0.38046885,-6.097715458648e-25
-0.37973642,-5.501391977027e-24
-0.379004,3.267647360508e-23
-0.37802744,1.065310908497e-22
-0.37729502,1.159387786052e-22
-0.3765626,6.882498160717e-23
-0.37583017,2.302787554734e-24
-0.37509775,-3.804416539656e-23
-0.37436533,-4.624284724429e-23
-0.37363291,-5.738897176712e-23
-0.37290049,-1.012498588208e-22
-0.37216806,-1.614199516459e-22
-0.37143564,-1.874393499945e-22
-0.37070322,-1.503086439118e-22
-0.3699708,-7.896469001879e-23
-0.36923838,-3.018617133860e-23
-0.36826181,-2.509370410894e-23
-0.36752939,-1.119341760395e-23
-0.36679697,4.982273275268e-23
-0.36606455,1.301992871878e-22
-0.36533213,1.767880330066e-22
-0.3645997,1.747769058886e-22
-0.36386728,1.558972824792e-22
-0.36313486,1.479266379957e-22
-0.36240244,1.385932870088e-22
-0.36167002,9.862317550997e-23
-0.3609376,2.595634124943e-23
-0.36020517,-4.785766840282e-23
-0.35947275,-9.134452951075e-23
-0.35874033,-1.020880952353e-22
-0.35776377,-9.858945843360e-23
-0.35703135,-9.478868548243e-23
-0.35629892,-8.006514809770e-23
-0.3555665,-4.930495931869e-23
-0.35483408,-1.873792361621e-23
-0.35410166,-1.197657697674e-23
-0.35336924,-2.976637160239e-23
-0.35263681,-4.556601385139e-23
-0.35190439,-3.776284135699e-23
-0.35117197,-1.743120031138e-23
-0.35043955,-1.295774894742e-23
-0.34970713,-2.995411829028e-23
-0.3489747,-4.174342463981e-23
-0.34824228,-2.517091119546e-23
-0.34726572,1.356193482808e-23
-0.3465333,1.135392739043e-23
-0.34580088,-1.724604950711e-23
-0.34506845,-2.333132928295e-23
-0.34433603,3.939895363082e-23
-0.34360361,1.581789386671e-22
-0.34287119,2.573455495671e-22
-0.34213877,2.613215581111e-22
-0.34140635,1.664732537237e-22
-0.34067392,4.360424038263e-23
-0.3399415,-3.398794623761e-23
-0.33920908,-5.619641535595e-23
-0.33847666,-6.472871128622e-23
-0.3375001,-9.538863940242e-23
-0.33676767,-1.014235125348e-22
-0.33603525,-6.850835609090e-23
-0.33530283,-2.987243295785e-23
-0.33457041,-4.863485952569e-23
-0.33383799,-1.471002375528e-22
-0.33310556,-2.653906563123e-22
-0.33237314,-2.998694883436e-22
-0.33164072,-1.932301061916e-22
-0.3309083,4.862834871738e-24
-0.33017588,1.714857234160e-22
-0.32944345,2.164111820369e-22
-0.32871103,1.567892855675e-22
-0.32797861,8.598596674905e-23
-0.32700205,8.724761421357e-23
-0.32626963,1.380273473271e-22
-0.3255372,1.741418023451e-22
-0.32480478,1.772072072572e-22
-0.32407236,1.627198979270e-22
-0.32333994,1.384671065066e-22
-0.32260752,8.142145500830e-23
-0.3218751,-3.524669447887e-23
-0.32114267,-1.931153770188e-22
-0.32041025,-3.148579316448e-22
-0.31967783,-3.157176595348e-22
-0.31894541,-1.850988140702e-22
-0.31821299,-1.411385900347e-23
-0.31748056,7.591624810936e-23
-0.316504,1.096695058753e-23
-0.31577158,-7.464727678483e-23
-0.31503916,-8.458648339578e-23
-0.31430674,-1.180886564525e-23
-0.31357431,6.604667911198e-23
-0.31284189,7.304815008308e-23
-0.31210947,1.282245201813e-23
-0.31137705,-3.987167613574e-23
-0.31064463,-2.317980953580e-23
-0.3099122,4.336615473657e-23
-0.30917978,8.217924026963e-23
-0.30844736,4.830294327368e-23
-0.30771494,-1.578828048590e-23
-0.30673838,-1.049862375802e-23
-0.30600595,8.264599117471e-23
-0.30527353,1.782212354778e-22
-0.30454111,1.991547824132e-22
-0.30380869,1.265097341358e-22
-0.30307627,5.207250722783e-24
-0.30234385,-9.289262566285e-23
-0.30161142,-1.136687607374e-22
-0.300879,-5.406095910032e-23
-0.30014658,3.343445364142e-23
-0.29941416,7.548295362239e-23
-0.29868174,3.036252378913e-23
-0.29794931,-8.212294289769e-23
-0.29721689,-1.956420430610e-22
-0.29624033,-2.381919934553e-22
-0.29550791,-1.711133124748e-22
-0.29477549,-7.209649317679e-23
-0.29404306,-7.046486525549e-24
-0.29331064,1.344284924308e-24
-0.29257822,-1.167862452371e-23
-0.2918458,3.274282506969e-24
-0.29111338,5.750080393157e-23
-0.29038095,1.192545571133e-22
-0.28964853,1.510167638669e-22
-0.28891611,1.402968433676e-22
-0.28818369,1.011346619060e-22
-0.28745127,6.236191089133e-23
-0.2864747,6.175522714420e-23
-0.28574228,1.072246270778e-22
-0.28500986,1.514518712151e-22
-0.28427744,1.364093150571e-22
-0.28354502,3.819530341533e-23
-0.2828126,-1.039932256307e-22
-0.28208017,-2.162198275665e-22
-0.28134775,-2.495575244192e-22
