frequency_hz,asd_strain_per_sqrt_hz
1820.5,5.374975044028e-24
1823.25,5.062541513603e-24
1826.25,5.064387955606e-24
1829.0,3.440068544018e-24
1832.0,3.082825154346e-24
1834.75,3.969697317097e-24
1837.5,3.843129662986e-24
1840.5,3.479350843762e-24
1843.25,3.254217577432e-24
1846.25,2.583737095364e-24
1849.0,2.698729167781e-24
1851.75,2.456971818919e-24
1854.75,2.795490669881e-24
1857.5,2.630770153195e-24
1860.5,2.158028648887e-24
1863.25,1.949171873840e-24
1866.0,2.026152148600e-24
1869.0,1.570467909989e-24
1871.75,2.024600276346e-24
1874.5,1.452285378349e-24
1877.5,1.396920222002e-24
1880.25,1.329638420839e-24
1883.25,1.430682290025e-24
1886.0,1.326335452011e-24
1888.75,1.105424038867e-24
1891.75,1.223282377021e-24
1894.5,1.098730562562e-24
1897.5,8.786237316834e-25
1900.25,8.998521726400e-25
1903.0,1.020840688401e-24
1906.0,1.031384274497e-24
1908.75,9.852924182826e-25
1911.5,9.886159058205e-25
1914.5,8.235846768625e-25
1917.25,6.637816373734e-25
1920.25,8.544146221696e-25
1923.0,3.350979541948e-24
1925.75,6.331670278898e-25
1928.75,9.502254422221e-25
1931.5,7.013406878408e-25
1934.5,6.289690445254e-25
1937.25,6.424412919887e-25
1940.0,5.911973299473e-25
1943.0,4.527055229748e-25
1945.75,5.818941074963e-25
1948.75,5.021752741413e-25
1951.5,4.733365788814e-25
1954.25,7.918304524535e-25
1957.25,2.221973435722e-24
1960.0,4.085738396917e-25
1962.75,3.673927390156e-25
1965.75,3.725477830512e-25
1968.5,3.990159287767e-25
1971.5,3.599168525956e-25
1974.25,3.028065052709e-25
1977.0,2.636910297206e-25
1980.0,3.170533556497e-25
1982.75,3.291919344133e-25
1985.75,3.289412406330e-25
1988.5,2.784265462260e-25
1991.25,2.376316271339e-25
1994.25,3.004442550891e-25
1997.0,2.592439427925e-25
2000.0,2.551034415586e-25
