frequency_hz,asd_strain_per_sqrt_hz
251.75,4.016618253705e-24
254.75,5.673286566387e-24
257.5,9.426229399492e-24
260.5,8.454171456423e-24
263.25,8.150683228835e-24
266.0,7.058616715036e-24
269.0,8.375440364069e-24
271.75,9.040534131024e-24
274.75,7.337059972996e-24
277.5,6.401812849472e-24
280.25,7.852300440976e-24
283.25,9.995193063274e-24
286.0,7.423919003121e-24
288.75,8.395690324624e-24
291.75,1.018636040104e-23
294.5,7.825698289268e-24
297.5,1.243557542502e-23
300.25,1.106958016090e-23
303.0,1.745628305431e-23
306.0,9.923842582014e-24
308.75,9.257359986338e-24
311.75,1.804282223512e-23
314.5,2.726525266885e-23
317.25,2.007660546870e-23
320.25,1.527839337278e-23
323.0,1.786549910280e-23
326.0,1.569827158503e-23
328.75,9.623019711107e-24
331.5,6.353312434002e-23
334.5,8.739060468245e-24
337.25,9.140778816884e-24
340.0,1.367920968113e-23
343.0,1.188397632125e-23
345.75,1.659397250511e-23
348.75,1.125520536793e-23
351.5,1.079087868311e-23
354.25,1.417988113211e-23
357.25,1.277978695015e-23
360.0,1.132749517373e-23
363.0,8.434909665179e-24
365.75,7.959567081188e-24
368.5,8.640836347898e-24
371.5,7.344037511299e-24
374.25,1.024545006246e-23
377.25,9.115760765394e-24
380.0,9.910181462854e-24
382.75,9.095959009388e-24
385.75,1.022279112712e-23
388.5,1.020354283415e-23
391.25,1.122146450621e-23
394.25,1.059387703422e-23
397.0,1.077119168502e-23
400.0,9.661207964943e-24
402.75,6.784433560232e-24
405.5,1.137332761309e-23
408.5,1.035802734138e-23
411.25,1.001270352379e-23
414.25,9.939585430404e-24
417.0,7.413576627585e-24
419.75,1.071834662184e-23
422.75,9.708502648127e-24
425.5,9.585849404315e-24
428.25,8.841113317502e-24
431.25,1.190369771125e-23
434.0,9.871080098197e-24
437.0,7.926077482156e-24
439.75,7.836112463468e-24
442.5,1.139384404249e-23
445.5,7.990760401578e-24
448.25,1.102487657997e-23
451.25,1.006991308557e-23
454.0,9.873080054124e-24
456.75,8.278448868217e-24
459.75,1.007959069528e-23
462.5,9.548027578853e-24
465.5,1.074697425704e-23
468.25,1.190910803451e-23
471.0,1.056131663111e-23
474.0,8.928796796998e-24
476.75,1.103822697005e-23
479.5,1.047338154740e-23
482.5,1.573338703895e-23
485.25,1.397810798890e-23
488.25,7.115527063335e-24
491.0,7.444284139421e-24
493.75,1.039122691083e-23
496.75,1.173048982117e-23
499.5,9.251766283711e-24
502.5,5.710630428252e-23
505.25,1.874964240937e-23
508.0,4.547521826410e-23
511.0,8.404472727552e-24
513.75,1.404852538256e-23
516.75,1.255354214427e-23
519.5,1.082025804458e-23
522.25,1.337173665869e-23
525.25,1.153750666110e-23
528.0,1.327728184331e-23
530.75,8.801870737107e-24
533.75,1.235603558798e-23
536.5,7.795858660808e-24
539.5,9.894635192973e-24
542.25,1.372841175309e-23
545.0,1.559961200363e-23
548.0,1.442292356262e-23
550.75,1.255812657188e-23
553.75,1.429383575160e-23
556.5,1.304928863494e-23
559.25,1.092139621831e-23
562.25,1.057758742755e-23
565.0,1.194937222879e-23
567.75,1.024990879614e-23
570.75,1.346447246002e-23
573.5,1.447464168747e-23
576.5,1.193773633060e-23
579.25,1.401436554903e-23
582.0,1.226756295867e-23
585.0,1.256807089859e-23
587.75,8.793811189545e-24
590.75,1.243890838297e-23
593.5,1.057709710403e-23
596.25,1.610914985196e-23
599.25,2.767446559665e-23
602.0,1.560333569886e-23
605.0,1.592071960633e-23
607.75,1.243696134613e-23
610.5,1.399061971394e-23
613.5,1.004729192837e-23
616.25,1.767011988765e-23
619.0,1.966440065459e-23
622.0,1.233140373772e-23
624.75,1.514094150026e-23
627.75,1.009261707351e-23
630.5,1.142631111813e-23
633.25,1.258326790379e-23
636.25,1.301238270905e-23
639.0,9.722513035816e-24
642.0,9.944355120775e-24
644.75,1.482180013721e-23
647.5,8.809821444651e-24
650.5,1.233206375624e-23
653.25,1.258124996779e-23
656.25,1.255545687759e-23
659.0,1.176864247961e-23
661.75,9.921195440218e-24
664.75,1.287022457386e-23
667.5,1.034694466453e-23
670.25,1.217996079982e-23
673.25,1.153243092199e-23
676.0,1.312775308658e-23
679.0,1.201070960379e-23
681.75,1.204479704667e-23
684.5,1.314434378095e-23
687.5,1.277623042138e-23
690.25,1.417564610127e-23
693.25,1.524785577335e-23
696.0,1.423859571784e-23
698.75,1.099031420685e-23
701.75,1.353023916707e-23
704.5,1.410781283949e-23
707.25,1.774346163427e-23
710.25,1.758233711032e-23
713.0,1.402981209805e-23
716.0,1.176058687036e-23
718.75,1.673454200538e-23
721.5,1.101469222924e-23
724.5,1.361859275584e-23
727.25,1.293073565716e-23
730.25,1.177453196243e-23
733.0,1.138388276416e-23
735.75,9.881873304021e-24
738.75,1.545207363625e-23
741.5,7.092810135467e-24
744.5,1.495719081683e-23
747.25,1.628769406990e-23
750.0,1.405003976529e-23
753.0,1.555549088847e-23
755.75,1.670207540946e-23
758.5,1.698309833216e-23
761.5,1.723290285140e-23
764.25,1.196669131725e-23
767.25,1.782985706970e-23
770.0,1.410244350691e-23
772.75,1.364945426957e-23
775.75,9.177938180576e-24
778.5,1.073882867015e-23
781.5,1.434021227256e-23
784.25,1.526530467138e-23
787.0,1.259974123007e-23
790.0,1.173220424625e-23
792.75,1.414427941454e-23
795.75,2.163117044951e-23
798.5,1.363232857948e-23
801.25,1.768879024632e-23
804.25,1.513378354538e-23
807.0,1.039304016715e-23
809.75,1.845290036497e-23
812.75,1.478142176363e-23
815.5,1.583315263403e-23
818.5,1.764615158235e-23
821.25,2.014897832754e-23
824.0,1.973867611344e-23
827.0,1.528831539696e-23
829.75,1.556049808862e-23
832.75,1.423891388920e-23
835.5,1.206576055086e-23
838.25,2.054503407713e-23
841.25,1.276047189736e-23
844.0,1.484141289691e-23
846.75,1.855017542498e-23
849.75,1.686664253704e-23
852.5,1.653835209530e-23
855.5,1.586060034127e-23
858.25,1.699914665276e-23
861.0,1.499288554339e-23
864.0,1.330425658034e-23
866.75,1.759953638110e-23
869.75,1.361742172646e-23
872.5,1.692643524288e-23
875.25,1.667301610367e-23
878.25,1.916709597214e-23
881.0,1.782332179616e-23
884.0,1.614639923748e-23
886.75,1.930701813720e-23
889.5,1.402195195236e-23
892.5,1.267722417678e-23
895.25,1.953609481855e-23
898.0,2.054151263657e-23
901.0,1.156894925092e-23
903.75,1.837038994619e-23
906.75,1.500937056594e-23
909.5,1.405404111512e-23
912.25,1.698981566704e-23
915.25,1.888328952171e-23
918.0,1.543006264648e-23
921.0,2.056366771111e-23
923.75,1.302544776896e-23
926.5,1.365737985730e-23
929.5,1.592317824675e-23
932.25,1.327787526780e-23
935.25,2.092051275965e-23
938.0,1.597540231754e-23
940.75,1.343271694421e-23
943.75,2.029004754559e-23
946.5,1.379794403593e-23
949.25,2.571406263537e-23
952.25,1.661925072463e-23
955.0,1.908816240666e-23
958.0,1.119088821157e-23
960.75,1.859586744684e-23
963.5,2.363460739676e-23
966.5,1.450746647425e-23
969.25,2.098766107472e-23
972.25,1.564728019081e-23
975.0,2.306208932257e-23
977.75,1.472954820377e-23
980.75,2.441466625522e-23
983.5,1.196867907531e-23
986.25,2.277049569872e-23
989.25,2.756006336890e-23
992.0,5.183217778924e-21
995.0,4.044452233889e-21
997.75,8.751198521787e-21
1000.5,1.909939500719e-23
1003.5,1.006998795218e-22
1006.25,1.711454881300e-23
1009.25,5.888047911822e-23
1012.0,1.768249640498e-23
1014.75,1.591663278748e-23
1017.75,1.253088771673e-23
1020.5,1.858506030337e-23
1023.5,1.516190296789e-23
1026.25,2.863429669687e-23
1029.0,1.713893725136e-23
1032.0,1.704934738502e-23
1034.75,2.127478754204e-23
1037.5,1.566435467949e-23
1040.5,1.828779049578e-23
1043.25,1.316820752234e-23
1046.25,2.020810547006e-23
1049.0,2.452942886544e-23
1051.75,1.553568240228e-23
1054.75,1.685343334774e-23
1057.5,2.816120407305e-23
1060.5,1.829910432012e-23
1063.25,2.122338140638e-23
1066.0,1.977081602905e-23
1069.0,2.012138452387e-23
1071.75,1.770635327863e-23
1074.5,2.121990744212e-23
1077.5,1.972145885664e-23
1080.25,2.360917177124e-23
1083.25,2.187720095864e-23
1086.0,1.938795046521e-23
1088.75,1.598413414560e-23
1091.75,1.506011682444e-23
1094.5,1.938721451915e-23
1097.5,1.200807791909e-23
1100.25,2.187191627494e-23
1103.0,2.245727828557e-23
1106.0,1.208271072067e-23
1108.75,1.383963495158e-23
1111.75,2.312757163183e-23
1114.5,2.293218216971e-23
1117.25,2.767043345031e-23
1120.25,1.470414156249e-23
1123.0,1.479806150280e-23
1125.75,1.784800371681e-23
1128.75,2.044238873603e-23
1131.5,3.140265892053e-23
1134.5,2.125351092443e-23
1137.25,1.902155118498e-23
1140.0,2.227791390029e-23
1143.0,2.166830194936e-23
1145.75,2.014950251941e-23
1148.75,1.372889720813e-23
1151.5,2.406543928435e-23
1154.25,1.891693957732e-23
1157.25,1.813048777247e-23
1160.0,2.235731135305e-23
1163.0,2.595921074957e-23
1165.75,2.059715954415e-23
1168.5,1.311517857034e-23
1171.5,2.553573693682e-23
1174.25,1.999036466422e-23
1177.0,2.118405600575e-23
1180.0,2.267500778622e-23
1182.75,1.950799557927e-23
1185.75,2.376310951601e-23
1188.5,2.102235427349e-23
1191.25,2.635480170593e-23
1194.25,2.112156227621e-23
1197.0,2.062198306922e-23
1200.0,2.234357843764e-23
1202.75,2.411059562609e-23
1205.5,1.884262941469e-23
1208.5,2.460261514163e-23
1211.25,2.347880083888e-23
1214.0,2.486290479045e-23
1217.0,2.098116648043e-23
1219.75,1.751789777220e-23
1222.75,2.072330575654e-23
1225.5,2.127458446698e-23
1228.25,1.468189718194e-23
1231.25,2.145177302954e-23
1234.0,2.341207154315e-23
1237.0,2.112304650714e-23
1239.75,1.753721143512e-23
1242.5,2.479718331984e-23
1245.5,1.572021012721e-23
1248.25,2.125162436185e-23
1251.25,2.520758227783e-23
1254.0,2.868846777243e-23
1256.75,2.003491011914e-23
1259.75,2.013112363897e-23
1262.5,2.261557583007e-23
1265.25,2.002274425845e-23
1268.25,2.498306084812e-23
1271.0,2.101101684612e-23
1274.0,2.274342719176e-23
1276.75,2.310848709461e-23
1279.5,2.474809331182e-23
1282.5,2.266704213533e-23
1285.25,2.552892276297e-23
1288.25,2.006299510995e-23
1291.0,2.203273049983e-23
1293.75,2.311913710767e-23
1296.75,1.734307042017e-23
1299.5,2.384450678264e-23
1302.5,2.578824212229e-23
1305.25,1.366338584475e-23
1308.0,2.544579087518e-23
1311.0,3.237363440452e-23
1313.75,2.846744747513e-23
1316.5,1.902635289858e-23
1319.5,2.847270665338e-23
1322.25,2.598950919966e-23
1325.25,2.702623011654e-23
1328.0,1.911649658129e-23
1330.75,2.624392035935e-23
1333.75,2.120982785590e-23
1336.5,2.433623944539e-23
1339.5,4.018469907582e-23
1342.25,2.412772283415e-23
1345.0,3.261219869623e-23
1348.0,1.585396467263e-23
1350.75,2.416176519143e-23
1353.5,2.625939355193e-23
1356.5,1.708195404388e-23
1359.25,1.790779585210e-23
1362.25,2.006634719894e-23
1365.0,2.087589793100e-23
1367.75,1.585285907794e-23
1370.75,2.991847328372e-23
1373.5,1.953331035119e-23
1376.5,3.695042248205e-23
1379.25,3.520073896849e-23
1382.0,1.805893725556e-23
1385.0,2.141435148824e-23
1387.75,2.658126569609e-23
1390.75,2.002721868434e-23
1393.5,2.058495970914e-23
1396.25,2.212224650739e-23
1399.25,2.050352994531e-23
1402.0,2.290007713611e-23
1404.75,2.214812585840e-23
1407.75,2.437065246078e-23
1410.5,1.955769754700e-23
1413.5,1.956714531012e-23
1416.25,2.582630672048e-23
1419.0,3.071757930251e-23
1422.0,2.681269568159e-23
1424.75,3.141985132178e-23
1427.75,1.966980030015e-23
1430.5,3.373912374021e-23
1433.25,2.594185957092e-23
1436.25,3.066315720895e-23
1439.0,2.292538664219e-23
1442.0,3.083727932080e-23
1444.75,2.657107704248e-23
1447.5,2.367067800504e-23
1450.5,2.880268853887e-23
1453.25,2.092285946957e-23
1456.0,2.380939952572e-21
1459.0,2.421903545625e-23
1461.75,5.584371082484e-22
1464.75,3.004911283882e-23
1467.5,2.251740265882e-22
1470.25,1.618654007542e-21
1473.25,4.386690913632e-23
1476.0,2.979082451072e-23
1479.0,3.442152644748e-23
1481.75,4.504760264383e-23
1484.5,2.909455604032e-21
1487.5,2.988794386867e-23
1490.25,1.931291486999e-23
1493.0,2.994518959678e-23
1496.0,2.633486004770e-23
1498.75,2.091179763260e-23
1501.75,2.693488057387e-23
1504.5,2.448992464482e-23
1507.25,2.272519431716e-23
1510.25,2.239035765232e-23
1513.0,2.380390051312e-23
1516.0,2.932034265596e-23
1518.75,2.422610291999e-23
1521.5,1.943852160943e-23
1524.5,3.359399802324e-23
1527.25,2.634579800643e-23
1530.25,1.663947668893e-23
1533.0,3.326162666858e-23
1535.75,2.530155907047e-23
1538.75,2.277712468941e-23
1541.5,2.376546371412e-23
1544.25,3.030800068643e-23
1547.25,1.481738500164e-23
1550.0,2.544218005678e-23
1553.0,2.320461797999e-23
1555.75,1.650509711724e-23
1558.5,2.526249832570e-23
1561.5,2.768294141055e-23
1564.25,1.871506669063e-23
1567.25,3.067918635315e-23
1570.0,2.605897919821e-23
1572.75,2.143157887861e-23
1575.75,2.613727276521e-23
1578.5,2.853005646630e-23
1581.5,3.543990302073e-23
1584.25,2.676852539279e-23
1587.0,2.344627271973e-23
1590.0,2.942528517760e-23
1592.75,2.586715444195e-23
1595.5,2.516103798035e-23
1598.5,3.569250410358e-23
1601.25,3.165875204780e-23
1604.25,1.901643501628e-23
1607.0,2.487738640597e-23
1609.75,3.027881489191e-23
1612.75,2.757247901141e-23
1615.5,2.774325821466e-23
1618.5,2.842356419119e-23
1621.25,2.891778891823e-23
1624.0,2.578342624387e-23
1627.0,2.529152314076e-23
1629.75,2.613125279856e-23
1632.5,3.703322230843e-23
1635.5,2.508396387624e-23
1638.25,2.646721368864e-23
1641.25,3.699828777512e-23
1644.0,3.678039704935e-23
1646.75,3.279596392125e-23
1649.75,2.845821706906e-23
1652.5,2.892075696263e-23
1655.5,3.498816318709e-23
1658.25,2.657042167390e-23
1661.0,3.874450420080e-23
1664.0,2.440110167812e-23
1666.75,2.633080146618e-23
1669.75,3.194893224930e-23
1672.5,2.681915489315e-23
1675.25,2.655184371907e-23
1678.25,3.006960062909e-23
1681.0,3.050315223077e-23
1683.75,2.552012759258e-23
1686.75,2.651927029912e-23
1689.5,2.075096744186e-23
1692.5,2.335909088698e-23
1695.25,3.823958072432e-23
1698.0,1.726608077190e-23
1701.0,1.957236656120e-23
1703.75,2.347349775064e-23
1706.75,1.925595469290e-23
1709.5,1.707508218814e-23
1712.25,1.574831413880e-23
1715.25,1.773608173636e-23
1718.0,2.011726007068e-23
1721.0,1.904273196534e-23
1723.75,1.645483842833e-23
1726.5,1.966034724897e-23
1729.5,1.329949990764e-23
1732.25,9.579807506448e-24
1735.0,1.468784562159e-23
1738.0,1.455250449063e-23
1740.75,1.350986759313e-23
1743.75,1.534052499073e-23
1746.5,1.179131646880e-23
1749.25,1.462224384214e-23
1752.25,1.433260625316e-23
1755.0,1.503877213752e-23
1758.0,1.114659874798e-23
1760.75,1.076775865094e-23
1763.5,1.299513689136e-23
1766.5,1.130384046490e-23
1769.25,7.445424345945e-24
1772.0,1.090232597210e-23
1775.0,1.016378567909e-23
1777.75,1.036020428400e-23
1780.75,7.442308319687e-24
1783.5,6.643867056520e-24
1786.25,6.978345645610e-24
1789.25,6.917773772642e-24
1792.0,5.640748800492e-24
1795.0,5.656359459984e-24
1797.75,5.410182408233e-24
1800.5,3.742035363458e-24
1803.5,5.234122038889e-24
1806.25,5.428683810799e-24
1809.25,4.904483206223e-24
1812.0,5.036298797775e-24
1814.75,4.622923668915e-24
1817.75,3.809143315810e-24
1820.5,4.490569612973e-24
1823.25,3.101748563450e-24
1826.25,2.982334706194e-24
1829.0,3.813029089537e-24
1832.0,3.362090097177e-24
1834.75,2.510207495484e-24
1837.5,3.146420852877e-24
1840.5,2.387995814109e-24
1843.25,3.036978119891e-24
1846.25,1.819162198446e-24
1849.0,2.349026729945e-24
1851.75,2.600994446376e-24
1854.75,2.233517534580e-24
1857.5,2.562629356919e-24
1860.5,1.586060872664e-24
1863.25,2.038277096892e-24
1866.0,1.829253641536e-24
1869.0,1.182543525662e-24
1871.75,1.261304675861e-24
1874.5,1.952046095693e-24
1877.5,1.914379132555e-24
1880.25,1.312053917103e-24
1883.25,1.272153907893e-24
1886.0,7.818398374392e-25
1888.75,1.606356505449e-24
1891.75,1.380091652807e-24
1894.5,8.504624216056e-25
1897.5,1.021038925590e-24
1900.25,8.478941545161e-25
1903.0,8.457160002121e-25
1906.0,7.693334090563e-25
1908.75,6.912587311579e-25
1911.5,7.514522145420e-25
1914.5,6.356696878518e-25
1917.25,7.475261437860e-25
1920.25,8.055722031642e-25
1923.0,8.802319085684e-24
1925.75,7.052143644602e-25
1928.75,9.453837735388e-25
1931.5,5.520863514158e-25
1934.5,5.885998535187e-25
1937.25,4.131110221080e-25
1940.0,4.657219493337e-25
1943.0,8.149122969237e-25
1945.75,8.915957937679e-25
1948.75,5.625871716542e-25
1951.5,4.609474937028e-25
1954.25,6.322762809366e-24
1957.25,9.836845607238e-24
1960.0,4.113008760705e-25
1962.75,4.458903954123e-25
1965.75,4.323033325008e-25
1968.5,4.387399003677e-25
1971.5,3.607827134258e-25
1974.25,3.499699192756e-25
1977.0,2.754835577455e-25
1980.0,2.306280160603e-25
1982.75,2.866413048237e-25
1985.75,3.527824329246e-25
1988.5,3.123058319540e-25
1991.25,2.427080199269e-25
1994.25,3.186827968700e-25
1997.0,2.414129646491e-25
2000.0,2.203200465860e-25
